hash,lines,files,num_test_files,commit_size
42c418c56fcea3a6da2471fbadabdb77f085b6a7,26,2,0,28
f2746e71fa579f5b56e055e8304ca292392e1ebb,298,14,1,312
77097b63b08eb366a2d667b41a73e87b401dccdd,2600,18,2,2618
92e93b16aefa348eebbcce6869746271d7b8b716,120,8,2,128
c5ce15e0a29b83566fc445d0d17dc40163949b62,75,5,1,80
6bf2661e6548a0d048c62c34564062598df43bc4,0,0,0,0
af20471a423684375533774320b874a49195d4f8,2633,49,7,2682
25b755958b1906dd3d4f6767a2008d8566746062,778,25,4,803
9c79b0876401264707d3bfae37362afc72445df5,82,5,1,87
ecf19dc3d917d124c33d463d662a1fb885bfb243,278,23,2,301
e8f8429e11372c04afffdcd133199ff87872eebf,96,7,3,103
d35c264e8f922667d9d04263df2e3b18ec9205cc,283,37,2,320
932695cbb394dcc005ccbff07ef9ab8c0f6cf5c4,5,1,0,6
07ea133db57bdfa32fdcc03b370f0ac89d35fd0d,30,2,0,32
ee8ec11a25ede3279df609ee1e402476d8b6d028,180,2,1,182
54dd652ef68572c3796efbbe636699bf00d3fc6c,72,5,1,77
0973e7dd05799d75a3907c0e27415b68310c90ea,2,1,0,3
c3c22a050d91af4b80974a6290f055d8ff49b401,5894,106,0,6000
003299e4240a1f131c4d1b9d3fe5f3b4ff9fd0e6,412,42,3,454
591c2b9d2bb8c428597091698f762155d6fdee4f,130,1,1,131
76fd1d8011bf4f125118e28f11f5aa5539f06fbd,209,8,0,217
962dd9e8bbacab7f86159da53f165fe8c569fd3b,212,17,4,229
7ea3721c8559b96683854edf1594059eb6deda35,877,56,0,933
d4a7da550acff516086cf0984fb4b3a3edde1b24,620,54,0,674
25608ae6eb4088a81a7fe4969409c30ecc81a7a1,15,4,0,19
ca1f11a04355eb7ea268492e9b9508e97f8aaf33,620,54,0,674
bf0bd5748dc5bd5a3bee3ad4c9445b5232ee7fde,3,1,0,4
b9463550d01f4b0118f725ed957e6e4354b0e4ba,1170,12,5,1182
5daf06892b533a06fa0d80c83006f84b74e429f8,240,10,3,250
668d74df8addad24ad0bd2e53a23a4ad07e5ad47,685,35,3,720
e1b2f29577a8f8a8b806c2e902ca65154f83eef3,4,2,0,6
70abea69a509708c3e0a51b9bc37f8d907617100,4,2,0,6
ed7a0673ab7beacb398f8250a9f21863f7ce424d,24,5,0,29
0703f014894119c2f6b488d821c4409c8c0519e2,2036,49,0,2085
45138bb6736ef986f493b2c72fb0e9a61531bee7,395,45,10,440
6b9366b1978f236f68e8bd8bf555fbdb5c82c8a9,286,38,9,324
e0dc2f324e555d3fe46665f2c02530b55a3d0060,756,75,13,831
6dff626ec8ad6715ee6cb085541e8cacd600e1d0,24,5,0,29
63949a321cda2c03f3b54ae74589c4b43d439ffa,1337,106,0,1443
ef6b02c38f37005bd41cbbf1ff8d4dbe6f699b5c,2,1,0,3
6e33c3d317965c8a26a98b79e6595a6b2062beb4,6,1,0,7
5a52fe124ab877876f5c884ee295d14d6573bd7d,8,1,0,9
12b99b1a78478999ef8da2c5617d65a5b0e687ac,143,7,0,150
251855be5bf1000d00371f4be7a04f3c83b438e4,72,2,2,74
37ad86c2349391a1af3a90f933d53dcd33e93370,0,1,0,1
f7ba78a79be91e1d2ce1e47ff9fae9c071eea394,24,1,0,25
dfd872b669c80ee2954ca77dbb95a019667d4f55,15,1,0,16
a4c107e78e24455702e73ff431a72d24f4402d12,72,1,0,73
cb175881473f9a76ff3b7f0b66f4b6bab0baf8df,67,1,0,68
f848e45f37ab8c1a1641ea4eddf08dca036e2594,6,1,0,7
c619db109cc682eaa27e3cd10f8ff4af32a7f881,16,1,0,17
06627f049a13c20502f94f286ce296a06f8f2e4d,38,1,0,39
01b195b4dccbf61d38eb7f3be76492a9232b712a,74,1,0,75
37b704153bc2bf50129b9e0a6ada3e2530876114,86,4,1,90
aa6dca8666b7f05e02c09f424e29f6f964c5a273,13,2,1,15
dabb797e22c21f49f58fce64ad536d45b529efb1,274,10,0,284
11c34bf287a5eb78b5878355c6d5ad2dfe1689fe,298,11,0,309
bb7d9f66c3613100213de0a5031918fe87bb9978,2,1,0,3
bdec17ea2af932e60db3133d3d13cad7fa6e74f6,4,1,0,5
4b45e24724aaf8dd3efff6f81ffe821e32194172,2,1,0,3
d07c10ec29a7362c4b7368cb4a95205c4f63f1ed,208,1,0,209
7a6c78460ba78a290333fb9df58d42b0ed965f2f,2,1,0,3
a5249795799317be00c454ac880be6c064e2a1c6,201,1,0,202
7bd223aba6584ea4caa3b40180c2c414be9e185f,30,1,0,31
7d901763e147341048497638c566d355a65db878,15,2,0,17
408785a1e16643f41530e3e81ef7bedab919f265,15,2,0,17
