hash,commit_size,num_test_files
878293f2fe0ca7120cc16ff5ece4eac676cb800f,10,0
b37dfdbb13fb0c1c58f47203da6c5097242e92ce,341,0
a7da0cc79471fb9a2702409d5a14b88b481a998d,49,0
102824902199a35331afa517bc4dd2c6666f96f8,22,0
ff82ec375a47ef163b38e806cb95c07c1f86ee4b,6,0
7028d12d4b854ed3f00c5492bbf29660d25b2e7d,21,0
06a8c4a8f93d46ddf224121cf02e61e835a7cc09,3,0
95e062453070df1a59648e5e407522bdcd95ae11,17,0
a6dc3ad29b675b453dd603f16b546a2cd645f109,106,1
ca387422892b28bdfcf7595d8a9e58a3f08e1460,18,1
3840655f40ebb063a1cccc5465b0c87b91977168,230,0
ee769e8009a4b06a45b7217f7ae866e50cf0edd8,34,0
36395919fb4aecc38d0f1fb75ea066175df4f7b1,6,0
38bae1704454ad1c9867cb28b5c6cd7e1b83d219,384,0
d809dd629b3781d4c8aa14b192ee5d4da915c4ac,10,0
619f2fdef79df82fea98cfb6d8bfc12ecbc7f31e,3,0
d3f28a69c521db40cb52797f4582f1973aecdf02,27,0
20e1ef9bff4092d6438ebda32ec985b616bddd8c,9,0
f2266958346807d8f62f3c790bccf26cb7880def,86,0
53ce477c78f9d0a051e6d1d644309079ab6d5e85,47,0
9dacabe703968ea4ae0d23e600f734fd7f843ced,26,0
f099259c0128e60276f7931ecd18c39af1b2d94d,2,0
0ae5b15f215e5ac4cf8e3f66c07b8489923f78f2,6,0
de3de421a7d0a6ef5bfd8ce5f606dd1e5c9e82c6,27,0
9576260c5c45bdaeb3b5b4481edf78ae4a3672b6,3,0
3038ff09373454946cff602d8a1c6e2ad7c28760,23,0
79f792128b6de251e83621f257ec5020f2cfd9fd,13,0
ff3364a975bc28f68703df65ec2461c92a25dd5d,60,0
64a686be70b54cd972b80c3d75ef2f10af5ef1d2,15,0
0876c314a8e53bcec66e578b4edcf32e2d76cbc9,3,0
46f860bf5ca1dab7c485e8b193998da6883d085e,217,0
51fab9ed23d65045b76ddefaa60eb24a767c5050,3,0
139026a453e7da8fa9523ca377830b2ca5a4c0ff,7,0
