hash,commit_size,num_test_files
6181828fb687b8ee0e5e07b9461e036339af64fc,538,1
e2176611ac8cc2d91a68a00b226f9aa3126232f2,1239,0
ce50d18c52ca0b43df116f3f41097f705a9549e3,3,0
41a52fb185c13836deb6c3c43b7c0679d94298a0,7,0
2af1b4b71441fd7aca2e8eda706eb947e6d32e5a,135,2
5ee363f8ce9aebab0f2a50d1b82f6ac5cb462b35,82,1
d4374e5a67ab998b5909bbe88740fd717f1d39d5,120,1
538b0df118d3265592689300bf070b729226d489,42,1
aa55c95268cee44ff4c5a822f477c1d4e378d862,196,3
e4a63acc4f60cae0eb568618f85f5a9dfb218336,188,1
818bea3fadcfc068d73f63712b730d8c4d317b2c,135,1
da14631ac54dfb2644f68ed80948a9ada1de999d,66,1
9769c1b1bb6480a9207402ae04dada7ad3d0787f,27,1
ce3aed515c34f4e7a7c29fb28873479a1231f16d,43,1
a50fc44c9679af7db71a4aaec9861694572aa47b,38,1
329a246b4da9d90f7a6cfcc16107b0923c21ec64,72,0
86f1831942ec4ca4c746c138d5e95782ddbe815c,25,1
fa3a12bfb5080f3bb7a446852000c6e79e24efb7,1144,0
69f5fb5162fb93ca52de2ceeef7c958bcd066814,134,0
0bf21187bbb80893fd594204577c87b0bdbf622e,6,0
78ad70ae0893d246d75e225b18f906bdd9af2a70,18,0
25e42ca04db68cb9f3e27b4d8d3c77e1d22ef939,575,1
33d5ed13524675de25a9fda0e28aceb595a8f51a,3,0
8368f1685d93608b8ccc55c210c25f61ecfa52a6,320,0
fdd2de2243aedc423118c9538547ab9b6a0d0de8,55,0
009bb9a5b5cf81d6208613bfc604812cbb0ec2da,76,0
776c2a937faafbd320d58c6da454bce072b448c7,54,0
4b84d01927892e9a313c60e89eb80e57cb7f60fe,29,0
71b6fddd12faa2c021c3267b62de3c80a60cec84,165,0
ea15f22335cbcb930237ffff59d729a3c6ed3659,85,1
13b73fefb5f0ca2b81a11c16a82084984ad2d1e4,19,0
4c90e3eac191f67eaf3d715acb1b843d01925b57,48,0
6374919b997a34ecdd84da96289ec1660a2862ce,246,1
eea1db814b817c0814ad5670211f9c8345825e48,9,0
354cf6457550f86cee985437132061cfca132d98,148,0
49935ebe028ed053acb898e4fca258963988fb6f,55,0
72af3783c797ef5073aa5309d81fc8e06209b0d8,21,0
10fd0c4b7c504ab5b62b5c8243fa13aa7919d4cb,98,0
